,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week
28942,65,2.0,103153,5.0,4,2.0,4.0,0.0,4.0,1.0,0,1411,40
19845,23,4.0,234663,11.0,9,4.0,7.0,1.0,4.0,1.0,0,0,40
11326,23,4.0,181820,15.0,10,4.0,5.0,4.0,4.0,1.0,0,0,45
26835,53,4.0,312446,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,60
23113,27,4.0,142075,15.0,10,4.0,8.0,3.0,4.0,1.0,0,0,24
14530,36,4.0,376455,8.0,11,0.0,3.0,1.0,4.0,1.0,0,0,38
10325,63,2.0,379940,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,40
15264,45,4.0,187370,12.0,14,0.0,4.0,4.0,4.0,1.0,7430,0,70
7212,30,4.0,171876,14.0,15,4.0,10.0,1.0,4.0,0.0,0,0,45
27415,35,4.0,128876,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,40
13369,36,4.0,184112,14.0,15,2.0,10.0,5.0,4.0,0.0,15024,0,45
23919,36,2.0,224947,9.0,13,4.0,10.0,4.0,4.0,1.0,0,0,40
2463,47,7.0,189123,11.0,9,2.0,8.0,0.0,4.0,1.0,0,0,40
25294,33,4.0,168981,3.0,2,4.0,12.0,3.0,4.0,0.0,0,0,24
3068,40,4.0,168936,8.0,11,0.0,8.0,1.0,4.0,0.0,0,0,32
8494,63,6.0,179444,5.0,4,2.0,4.0,0.0,4.0,1.0,0,0,15
5160,37,4.0,163199,15.0,10,0.0,13.0,1.0,0.0,0.0,0,0,40
12715,53,0.0,199665,9.0,13,2.0,0.0,0.0,4.0,1.0,0,0,30
19316,41,1.0,153132,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,38
2904,52,4.0,141301,11.0,9,0.0,7.0,1.0,4.0,0.0,0,0,40
16175,47,4.0,354148,14.0,15,2.0,10.0,0.0,4.0,1.0,99999,0,48
4254,63,0.0,203821,11.0,9,2.0,0.0,0.0,4.0,1.0,0,0,40
13586,22,4.0,200109,11.0,9,2.0,9.0,5.0,4.0,0.0,4508,0,40
8735,36,4.0,218542,15.0,10,0.0,3.0,4.0,4.0,0.0,0,0,40
26041,53,4.0,187356,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,66
24048,53,4.0,64322,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,40
11427,20,4.0,94364,15.0,10,4.0,10.0,1.0,3.0,0.0,0,0,20
23489,35,4.0,194591,15.0,10,2.0,13.0,0.0,4.0,1.0,0,0,40
22678,51,4.0,197163,14.0,15,4.0,10.0,1.0,4.0,0.0,0,2559,50
9622,46,5.0,198660,9.0,13,2.0,12.0,0.0,4.0,1.0,99999,0,72
22493,35,6.0,108808,11.0,9,0.0,3.0,1.0,4.0,1.0,0,0,50
8037,60,4.0,296485,4.0,3,2.0,14.0,0.0,4.0,1.0,0,0,40
8180,77,0.0,28678,12.0,14,2.0,0.0,0.0,4.0,1.0,9386,0,6
25874,30,4.0,101345,9.0,13,2.0,12.0,5.0,4.0,0.0,3103,0,55
6435,40,6.0,238574,14.0,15,2.0,10.0,0.0,4.0,1.0,0,0,55
19745,30,2.0,211654,12.0,14,2.0,10.0,0.0,4.0,1.0,0,0,40
2286,27,1.0,188343,11.0,9,5.0,4.0,4.0,2.0,0.0,0,0,40
16547,47,4.0,195978,11.0,9,2.0,3.0,0.0,4.0,1.0,0,0,40
9172,56,5.0,184598,6.0,5,2.0,14.0,0.0,4.0,1.0,0,0,99
25190,50,4.0,183638,11.0,9,6.0,12.0,4.0,4.0,0.0,0,0,40
12810,24,4.0,183594,8.0,11,4.0,3.0,3.0,4.0,1.0,0,0,20
10397,67,6.0,345236,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,55
20693,20,4.0,124751,15.0,10,4.0,1.0,3.0,4.0,0.0,0,0,24
16437,70,6.0,139889,15.0,10,2.0,5.0,0.0,4.0,1.0,2653,0,70
21137,40,4.0,187702,15.0,10,4.0,4.0,1.0,4.0,1.0,0,0,50
16118,37,4.0,280966,15.0,10,2.0,7.0,0.0,4.0,1.0,0,0,50
1503,46,4.0,99835,14.0,15,2.0,10.0,0.0,4.0,1.0,0,0,60
19495,33,4.0,142383,7.0,12,4.0,12.0,1.0,3.0,1.0,0,0,36
23109,67,4.0,105252,12.0,14,2.0,4.0,0.0,4.0,1.0,0,0,40
13607,30,4.0,144064,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,62
13649,62,4.0,122033,11.0,9,6.0,1.0,1.0,4.0,0.0,0,0,38
27582,21,4.0,145119,15.0,10,4.0,8.0,3.0,1.0,1.0,0,0,20
8557,65,4.0,155261,11.0,9,2.0,4.0,0.0,4.0,1.0,0,0,40
15073,32,4.0,95885,1.0,7,4.0,3.0,1.0,0.0,1.0,13550,0,60
21051,28,4.0,149652,0.0,6,4.0,8.0,3.0,2.0,0.0,0,0,30
2900,32,0.0,53042,11.0,9,4.0,0.0,3.0,2.0,1.0,0,0,40
5998,48,4.0,205424,9.0,13,0.0,12.0,4.0,4.0,1.0,0,0,40
19701,41,2.0,34987,9.0,13,2.0,10.0,0.0,4.0,1.0,0,0,35
10312,18,4.0,150817,11.0,9,4.0,12.0,3.0,4.0,0.0,0,0,20
15558,21,4.0,65038,11.0,9,4.0,7.0,3.0,4.0,1.0,0,0,40
2856,20,4.0,227943,11.0,9,4.0,6.0,3.0,4.0,1.0,0,0,45
22937,24,4.0,205844,9.0,13,4.0,4.0,3.0,2.0,0.0,0,0,40
8101,18,4.0,395567,11.0,9,4.0,6.0,3.0,4.0,1.0,0,0,40
4047,47,4.0,73064,5.0,4,2.0,7.0,5.0,2.0,0.0,0,0,35
7978,24,4.0,146706,15.0,10,4.0,8.0,1.0,4.0,0.0,0,0,30
9614,26,1.0,218782,11.0,9,2.0,1.0,0.0,3.0,1.0,0,0,40
28907,32,4.0,260954,1.0,7,2.0,3.0,0.0,4.0,1.0,0,2042,30
28369,51,4.0,289436,9.0,13,2.0,4.0,0.0,4.0,1.0,0,0,60
15854,48,0.0,184682,11.0,9,4.0,0.0,3.0,4.0,0.0,0,0,18
516,36,6.0,28738,7.0,12,0.0,12.0,4.0,4.0,0.0,0,0,35
5226,36,4.0,287658,11.0,9,4.0,1.0,3.0,2.0,1.0,0,0,40
25829,29,4.0,48895,11.0,9,4.0,3.0,1.0,4.0,1.0,0,0,50
18471,35,4.0,169672,1.0,7,2.0,12.0,0.0,4.0,1.0,0,0,65
25500,34,4.0,107624,15.0,10,2.0,3.0,0.0,4.0,1.0,0,0,50
15270,28,4.0,201954,7.0,12,4.0,4.0,1.0,4.0,1.0,0,0,65
1710,42,2.0,445382,9.0,13,5.0,4.0,1.0,4.0,1.0,0,0,45
